agent,seed,goodput_mbps,bler,retransmission_rate,mean_mcs
ILLA,1,8.496008757961784,0.5055889271203904,0.3600218949044586,11.992613327112977
ILLA,2,8.536746417197453,0.49814377972852775,0.35657593550955413,11.987239225846368
ILLA,3,8.523993630573248,0.5013275965656918,0.3580687699044586,11.994903199550397
ILLA,4,8.512625398089172,0.5016374382327293,0.35798168789808915,11.976902805766548
ILLA,5,8.520747810509553,0.5030065562323001,0.3586037022292994,11.999631482990031
OLLA,1,8.642193869426752,0.12956622619620273,0.12064589968152867,8.875618934442464
OLLA,2,8.635363256369427,0.12960133548368846,0.12060857882165606,8.867914385547964
OLLA,3,8.631684315286623,0.12949263780251485,0.1204468550955414,8.861786088088031
OLLA,4,8.635902667197453,0.1295397631612456,0.12067078025477707,8.870437439873239
OLLA,5,8.629746815286623,0.12955786257814494,0.12040953423566879,8.858001555759847
DQN,1,9.909146098726115,0.1509197628861475,0.1458250398089172,10.384710611400775
DQN,2,9.85977726910828,0.152349561006913,0.14698198646496816,10.351806209803264
DQN,3,9.904391918789809,0.15218913163958814,0.14698198646496816,10.392072219224431
DQN,4,9.877022890127389,0.15015495642305288,0.14495421974522293,10.34422103241576
DQN,5,9.889480493630574,0.15145775355878366,0.1461484872611465,10.370199312314238
Genie,1,10.78903523089172,0.07377939499266817,0.08371068869426751,10.491399090353676
Genie,2,10.780547770700638,0.07435085669252828,0.08439490445859872,10.4909375
Genie,3,10.78015525477707,0.07440925087983907,0.08444466560509555,10.491616392195228
Genie,4,10.791849721337579,0.07345415054639248,0.08354896496815287,10.492561220611393
Genie,5,10.785663415605097,0.07419481913145065,0.08414609872611464,10.49356153219234
