,seed,seed,goodput_mbps,goodput_mbps,bler,bler,retransmission_rate,retransmission_rate,mean_mcs,mean_mcs
,mean,std,mean,std,mean,std,mean,std,mean,std
agent,,,,,,,,,,
DQN,3.0,1.5811,9.888,0.0202,0.1514,0.0009,0.1462,0.0009,10.3686,0.0206
Genie,3.0,1.5811,10.7855,0.0051,0.074,0.0004,0.084,0.0004,10.492,0.001
ILLA,3.0,1.5811,8.518,0.0151,0.5019,0.0027,0.3583,0.0012,11.9903,0.0087
OLLA,3.0,1.5811,8.635,0.0048,0.1296,0.0,0.1206,0.0001,8.8668,0.007
