agent,seed,goodput_mbps,bler,retransmission_rate,mean_mcs
ILLA,1,10.927663031914893,0.4526823687417614,0.331640625,13.698732854993347
ILLA,2,10.922963031914893,0.45293890707254236,0.332139295212766,13.703062583222371
ILLA,3,10.929409441489362,0.45037324092360054,0.3308261303191489,13.68664224057629
ILLA,4,10.931244015957446,0.4488565901086363,0.32979554521276594,13.669266731978324
ILLA,5,10.917705186170213,0.45233240501293015,0.3314910239361702,13.682215453471747
OLLA,1,10.81511063829787,0.11365250878636057,0.1108128324468085,10.13967117500257
OLLA,2,10.816063430851063,0.11353377134365739,0.11068816489361702,10.13685725500458
OLLA,3,10.843091622340424,0.11357053426270247,0.11046376329787234,10.161675807491427
OLLA,4,10.833620212765956,0.11314884711685791,0.11038065159574469,10.15073945010697
OLLA,5,10.843398803191489,0.11367226568707178,0.11082114361702128,10.173218925840764
DQN,1,12.098812765957447,0.14683081211346938,0.1412400265957447,11.742639800243888
DQN,2,12.082323936170212,0.14757450932881022,0.14247007978723406,11.74323983794995
DQN,3,12.087584574468083,0.148991049870548,0.1428690159574468,11.75453311354601
DQN,4,12.072585505319148,0.14824758655449155,0.14249501329787234,11.73441240610613
DQN,5,12.075452260638297,0.14758799763595676,0.14215425531914894,11.73595179042009
Genie,1,13.026395212765957,0.05905409869730982,0.06913231382978724,11.64144390278745
Genie,2,13.028048271276596,0.05882615487614373,0.06891622340425532,11.640134609204841
Genie,3,13.024887632978723,0.05904200705325657,0.06908244680851064,11.639909649310763
Genie,4,13.026655585106383,0.05909975538771939,0.06900764627659574,11.641143754965764
Genie,5,13.028861835106381,0.05892539924836859,0.06893284574468085,11.64235088283077
